mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,bound_pald_numpy
1,1,110,1,normal,1,1,510,1,normal,14.52941107749939,0.0034424719268815285
1,1,110,1,normal,1,1,510,1,normal,14.473425149917603,0.0034401991869216857
1,1,110,1,normal,1,1,510,1,normal,14.761280536651611,0.003449738010117962
1,1,110,1,normal,1,1,510,1,normal,14.501154899597168,0.0034447731322227552
1,1,110,1,normal,1,1,510,1,normal,14.447527647018433,0.003441346857052335
1,1,210,1,normal,1,1,510,1,normal,19.569321155548096,0.003021555194832072
1,1,210,1,normal,1,1,510,1,normal,19.571443796157837,0.0030360479012736326
1,1,210,1,normal,1,1,510,1,normal,19.603651523590088,0.0030270213146180638
1,1,210,1,normal,1,1,510,1,normal,19.54902172088623,0.0030361802776184476
1,1,210,1,normal,1,1,510,1,normal,19.84860873222351,0.0030369148147171903
1,1,310,1,normal,1,1,510,1,normal,25.80489492416382,0.0027109605138867145
1,1,310,1,normal,1,1,510,1,normal,25.82776689529419,0.002708980174315873
1,1,310,1,normal,1,1,510,1,normal,25.874321222305298,0.0027141521589218484
1,1,310,1,normal,1,1,510,1,normal,25.67587661743164,0.002715188264844722
1,1,310,1,normal,1,1,510,1,normal,26.482813596725464,0.002708699269156934
1,1,410,1,normal,1,1,510,1,normal,32.7878897190094,0.0024631824753821954
1,1,410,1,normal,1,1,510,1,normal,32.76643681526184,0.0024631951461915763
1,1,410,1,normal,1,1,510,1,normal,32.68493986129761,0.002454423598509419
1,1,410,1,normal,1,1,510,1,normal,32.636807441711426,0.0024634611709906107
1,1,410,1,normal,1,1,510,1,normal,32.796515703201294,0.00245995639894167
1,1,510,1,normal,1,1,510,1,normal,41.11729955673218,0.0022552969732944623
1,1,510,1,normal,1,1,510,1,normal,41.27784848213196,0.002249945498678864
1,1,510,1,normal,1,1,510,1,normal,40.735541343688965,0.00225141136085185
1,1,510,1,normal,1,1,510,1,normal,40.644131898880005,0.00225236212543831
1,1,510,1,normal,1,1,510,1,normal,40.64690351486206,0.002250935492556126
1,1,610,1,normal,1,1,510,1,normal,50.02592611312866,0.0020790532451393524
1,1,610,1,normal,1,1,510,1,normal,50.6146125793457,0.002078779866971855
1,1,610,1,normal,1,1,510,1,normal,50.470447063446045,0.00208122620348132
1,1,610,1,normal,1,1,510,1,normal,50.47526288032532,0.0020797333001681996
1,1,610,1,normal,1,1,510,1,normal,50.70467782020569,0.0020789904819185196
1,1,710,1,normal,1,1,510,1,normal,61.06904196739197,0.001929180000815143
1,1,710,1,normal,1,1,510,1,normal,60.33933877944946,0.0019342574137741098
1,1,710,1,normal,1,1,510,1,normal,60.590229749679565,0.0019310906715788313
1,1,710,1,normal,1,1,510,1,normal,62.26473069190979,0.0019310078705941265
1,1,710,1,normal,1,1,510,1,normal,60.112475872039795,0.0019335991020130712
1,1,810,1,normal,1,1,510,1,normal,71.81483483314514,0.0018076833628413534
1,1,810,1,normal,1,1,510,1,normal,71.09268975257874,0.001804644797058995
1,1,810,1,normal,1,1,510,1,normal,71.23447370529175,0.0018036209391658908
1,1,810,1,normal,1,1,510,1,normal,71.8355143070221,0.0018036639346315363
1,1,810,1,normal,1,1,510,1,normal,71.24265027046204,0.001803868302705015
1,1,910,1,normal,1,1,510,1,normal,83.6675283908844,0.001692464523019922
1,1,910,1,normal,1,1,510,1,normal,83.91407942771912,0.0016948445614650932
1,1,910,1,normal,1,1,510,1,normal,83.81990599632263,0.0016955363712302161
1,1,910,1,normal,1,1,510,1,normal,84.13553643226624,0.0016969611408999292
1,1,910,1,normal,1,1,510,1,normal,83.79327034950256,0.0016976916837105277
1,1,10,1,normal,1,1,610,1,normal,14.516448259353638,0.0034380048420023595
1,1,10,1,normal,1,1,610,1,normal,14.518053770065308,0.003444403554548519
1,1,10,1,normal,1,1,610,1,normal,14.456210136413574,0.0034454661814762467
1,1,10,1,normal,1,1,610,1,normal,14.460674524307251,0.0034350744519789727
1,1,10,1,normal,1,1,610,1,normal,14.400263786315918,0.003438406727830748
1,1,110,1,normal,1,1,610,1,normal,19.57727813720703,0.0030388628639318274
1,1,110,1,normal,1,1,610,1,normal,19.612815856933594,0.003027203835411611
1,1,110,1,normal,1,1,610,1,normal,19.989612102508545,0.0030341787692613124
1,1,110,1,normal,1,1,610,1,normal,19.782976865768433,0.0030374306739901565
1,1,110,1,normal,1,1,610,1,normal,19.725828409194946,0.0030287287480018775
1,1,210,1,normal,1,1,610,1,normal,25.69044589996338,0.002713153493899062
1,1,210,1,normal,1,1,610,1,normal,25.777759313583374,0.0027114223251134993
1,1,210,1,normal,1,1,610,1,normal,25.74645447731018,0.002715396380862243
1,1,210,1,normal,1,1,610,1,normal,25.76277446746826,0.0027155675268447934
1,1,210,1,normal,1,1,610,1,normal,25.65719199180603,0.0027170195021080845
1,1,310,1,normal,1,1,610,1,normal,32.887048959732056,0.002458094299474321
1,1,310,1,normal,1,1,610,1,normal,33.192487955093384,0.0024542386451638473
1,1,310,1,normal,1,1,610,1,normal,32.947497606277466,0.002460653121299431
1,1,310,1,normal,1,1,610,1,normal,32.80384397506714,0.002457312298904402
1,1,310,1,normal,1,1,610,1,normal,33.05902719497681,0.002462646527873293
1,1,410,1,normal,1,1,610,1,normal,40.82482099533081,0.002251050344317741
1,1,410,1,normal,1,1,610,1,normal,40.70638680458069,0.0022551011593744366
1,1,410,1,normal,1,1,610,1,normal,41.065375328063965,0.00225005289207534
1,1,410,1,normal,1,1,610,1,normal,41.16536545753479,0.0022485795402608305
