mean1,std1,n1,dim1,dist1,mean2,std2,n2,dim2,dist2,time_pald_numpy,time_pald_cupy_multistream,time_pald_cupy,time_pald_cupy_loop,time_pald_cupy_kernels,bound_pald_numpy,bound_pald_cupy_multistream,bound_pald_cupy,bound_pald_cupy_loop,bound_pald_cupy_kernels
0,1,810,1,normal,0,1,210,1,normal,28.58951997756958,0.05594682693481445,211.86361455917358,0.05628156661987305,68.34397792816162,0.0022499095434643196,,0.0022499095434643196,0.002249908447265625,0.002249908447265625
0,1,810,1,normal,0,1,210,1,normal,28.416666507720947,0.05743098258972168,211.50136947631836,0.05684947967529297,67.9706449508667,0.002252536913610447,,0.002252536913610447,0.002252536193997252,0.002252535960253547
0,1,10,1,normal,0,1,410,1,normal,4.398949861526489,0.02269911766052246,35.931825399398804,0.021807193756103516,11.76536750793457,0.004779021029367949,0.004779018674577986,0.004779021029367949,0.0047790203775678365,0.004779018674577986
0,1,10,1,normal,0,1,410,1,normal,4.389711380004883,0.022927522659301758,35.67509436607361,0.0217440128326416,11.594311952590942,0.004781087581664974,0.004781086104256766,0.004781087581664974,0.004781087239583333,0.004781084968930199
0,1,10,1,normal,0,1,410,1,normal,4.386921644210815,0.02289438247680664,35.71051049232483,0.021227598190307617,11.836007833480835,0.00475980494541465,0.0047598032724289665,0.00475980494541465,0.00475980384009225,0.004759802704765683
0,1,10,1,normal,0,1,410,1,normal,4.405774354934692,0.023014307022094727,35.578505992889404,0.020722389221191406,11.813739776611328,0.004769335547960896,0.004769334338960193,0.004769335547960896,0.004769334906623477,0.00476933377129691
0,1,10,1,normal,0,1,410,1,normal,4.39940333366394,0.02295684814453125,35.525269985198975,0.020861148834228516,11.678375005722046,0.004790444270917397,0.004790442898159935,0.004790444270917397,0.004790443465823219,0.004790441762833368
0,1,210,1,normal,0,1,410,1,normal,10.088392734527588,0.0340731143951416,77.96841931343079,0.03240013122558594,25.175473928451538,0.003438740588141875,0.0034387415455233664,0.003438740588141875,0.0034387411609772714,0.003438741930069462
0,1,210,1,normal,0,1,410,1,normal,10.145236253738403,0.034073591232299805,77.80047464370728,0.03199434280395508,25.30118703842163,0.003437154202743089,0.0034371552928801506,0.003437154202743089,0.0034371552928801506,0.0034371552928801506
0,1,210,1,normal,0,1,410,1,normal,10.124667167663574,0.03400754928588867,78.25313806533813,0.03259134292602539,25.368112087249756,0.0034449129791520837,0.0034449138948994297,0.0034449129791520837,0.0034449135103533346,0.0034449138948994297
0,1,210,1,normal,0,1,410,1,normal,10.123756647109985,0.03511524200439453,78.42235684394836,0.03255629539489746,25.30638551712036,0.0034381395455266505,0.0034381401154302783,0.0034381395455266505,0.0034381401154302783,0.0034381404999763734
0,1,210,1,normal,0,1,410,1,normal,10.103877305984497,0.034371137619018555,78.24814748764038,0.03264212608337402,25.448633909225464,0.003435622728717421,0.0034356232612363755,0.003435622728717421,0.0034356232612363755,0.0034356232612363755
0,1,410,1,normal,0,1,410,1,normal,17.975281953811646,0.04538226127624512,136.55220079421997,0.04451417922973633,44.218465089797974,0.002717448133262429,0.002717449606918707,0.002717448133262429,0.0027174490254099778,0.002717449606918707
0,1,410,1,normal,0,1,410,1,normal,18.007741928100586,0.04742717742919922,137.40858101844788,0.044664621353149414,44.218827962875366,0.0027101970078599554,0.0027101984838160073,0.0027101970078599554,0.0027101981930616427,0.0027101984838160073
0,1,410,1,normal,0,1,410,1,normal,18.00378680229187,0.04592728614807129,136.9720470905304,0.044579505920410156,44.13499331474304,0.002707537201230934,0.0027075383721328365,0.002707537201230934,0.0027075383721328365,0.0027075383721328365
0,1,410,1,normal,0,1,410,1,normal,17.962290048599243,0.04543614387512207,136.9281885623932,0.04438042640686035,44.121293783187866,0.0027110274122632517,,0.0027110274122632517,0.002711028006018662,0.0027110282967730266
0,1,410,1,normal,0,1,410,1,normal,17.989012956619263,0.04517865180969238,137.0533401966095,0.04533219337463379,44.44097304344177,0.002709602778983553,,0.002709602778983553,0.002709603891140077,0.0027096036003857126
0,1,610,1,normal,0,1,410,1,normal,28.48857045173645,0.05804157257080078,211.95159029960632,0.05865907669067383,68.45799207687378,0.0022509915445784335,0.0022509911481071922,0.0022509915445784335,0.0022509911481071922,0.0022509909143634873
0,1,610,1,normal,0,1,410,1,normal,28.49690008163452,0.055303335189819336,212.4180076122284,0.05851292610168457,68.44702625274658,0.002249991372384632,,0.002249991372384632,0.0022499907250497857,0.0022499907250497857
0,1,610,1,normal,0,1,410,1,normal,28.463775873184204,0.05626821517944336,212.66842031478882,0.05892014503479004,68.7931079864502,0.002252368595938498,0.002252367898529651,0.002252368595938498,0.002252367898529651,0.002252367898529651
0,1,610,1,normal,0,1,410,1,normal,28.63974404335022,0.05576133728027344,213.30939078330994,0.05877971649169922,68.67317199707031,0.0022494693688247763,,0.0022494693688247763,0.002249468307869107,0.002249468074125402
0,1,610,1,normal,0,1,410,1,normal,28.481096982955933,0.05791139602661133,212.46625351905823,0.05917549133300781,68.61192178726196,0.002250084182138454,,0.002250084182138454,0.002250083287556966,0.002250083287556966
0,1,810,1,normal,0,1,410,1,normal,41.972660064697266,0.1217353343963623,301.5246629714966,0.09260106086730957,98.3675696849823,0.0019288079614838693,0.0019288090408825483,0.0019288079614838693,0.0019288090408825483,0.0019288090408825483
0,1,810,1,normal,0,1,410,1,normal,41.82084774971008,0.08688211441040039,304.1550340652466,0.09317851066589355,98.05845546722412,0.0019322995660443491,,0.0019322995660443491,0.0019323001142408027,0.0019323001142408027
0,1,810,1,normal,0,1,410,1,normal,41.85087513923645,0.08335518836975098,303.0458662509918,0.09166264533996582,97.98853802680969,0.0019330227801388268,0.0019330233824057658,0.0019330227801388268,0.0019330233824057658,0.0019330233824057658
0,1,810,1,normal,0,1,410,1,normal,42.586108684539795,0.08558058738708496,302.5981557369232,0.09267210960388184,97.88551592826843,0.0019321316316442837,,0.0019321316316442837,0.001932132830385302,0.0019321326349602372
0,1,810,1,normal,0,1,410,1,normal,41.89493227005005,0.08416175842285156,304.65218329429626,0.09269070625305176,98.24496459960938,0.001931996974259769,0.0019319979870905642,0.001931996974259769,0.0019319979870905642,0.0019319979870905642
0,1,10,1,normal,0,1,610,1,normal,10.115935802459717,0.034452199935913086,78.77803683280945,0.03339815139770508,25.1483736038208,0.0034292482195115172,0.0034292490251602663,0.0034292482195115172,0.0034292490251602663,0.0034292490251602663
0,1,10,1,normal,0,1,610,1,normal,10.126023530960083,0.03417325019836426,78.34051179885864,0.033535003662109375,25.330117225646973,0.0034372745812588945,0.003437275271261892,0.0034372745812588945,0.003437275271261892,0.003437275271261892
0,1,10,1,normal,0,1,610,1,normal,10.115620374679565,0.03415393829345703,78.43704581260681,0.033356666564941406,25.134686946868896,0.0034464505358525336,0.003446451694734635,0.0034464505358525336,0.003446451694734635,0.003446451694734635
0,1,10,1,normal,0,1,610,1,normal,10.14454197883606,0.03412890434265137,78.66207838058472,0.033272743225097656,25.14176607131958,0.003440628724382355,0.003440629666851413,0.003440628724382355,0.0034406292823053177,0.0034406300513975083
0,1,10,1,normal,0,1,610,1,normal,10.141700029373169,0.034310340881347656,78.71449112892151,0.03329348564147949,25.254127979278564,0.0034443630094734374,0.0034443639939831148,0.0034443630094734374,0.0034443636094370197,0.0034443636094370197
0,1,210,1,normal,0,1,610,1,normal,18.07366943359375,0.04492759704589844,137.00762176513672,0.044272422790527344,44.20008659362793,0.0027142277422123095,,0.0027142277422123095,0.002714228630065918,0.0027142292115746474
0,1,210,1,normal,0,1,610,1,normal,17.97815251350403,0.04771113395690918,137.19907474517822,0.044420480728149414,44.422314167022705,0.002716385261775444,0.002716386608961152,0.002716385261775444,0.002716386318206787,0.002716386318206787
0,1,210,1,normal,0,1,610,1,normal,19.37626838684082,0.047783613204956055,137.06693243980408,0.044338226318359375,44.1864652633667,0.0027124607839363653,0.0027124620065456483,0.0027124607839363653,0.0027124620065456483,0.0027124620065456483
0,1,210,1,normal,0,1,610,1,normal,17.997241497039795,0.045568227767944336,136.87591862678528,0.04428887367248535,44.156102895736694,0.0027106096313658447,0.0027106107735052343,0.0027106096313658447,0.0027106104827508692,0.0027106104827508692
0,1,210,1,normal,0,1,610,1,normal,18.110220193862915,0.04752516746520996,136.5531177520752,0.04432821273803711,44.91228914260864,0.0027185407875255454,0.0027185422618214677,0.0027185407875255454,0.002718541971067103,0.002718541971067103
0,1,410,1,normal,0,1,610,1,normal,28.534387350082397,0.05922436714172363,212.4645607471466,0.058859825134277344,68.16260480880737,0.002257562263377842,,0.002257562263377842,0.002257561683654785,0.002257561216167375
0,1,410,1,normal,0,1,610,1,normal,28.612569093704224,0.05622434616088867,212.45506954193115,0.05892133712768555,69.50865864753723,0.0022484857662248463,,0.0022484857662248463,0.0022484844806147557,0.0022484844806147557
0,1,410,1,normal,0,1,610,1,normal,28.563286542892456,0.055409908294677734,212.64452576637268,0.05867338180541992,68.58412551879883,0.0022527218049587226,,0.0022527218049587226,0.0022527210852679082,0.0022527208515242033
0,1,410,1,normal,0,1,610,1,normal,28.53937602043152,0.05967521667480469,212.62802386283875,0.05869746208190918,68.88348150253296,0.0022514827547801004,0.0022514820098876952,0.0022514827547801004,0.0022514820098876952,0.0022514820098876952
0,1,410,1,normal,0,1,610,1,normal,28.729660511016846,0.05688905715942383,212.0341727733612,0.05913114547729492,68.18737864494324,0.002253614320274231,0.002253612817502489,0.002253614320274231,0.002253613051246194,0.002253612817502489
0,1,610,1,normal,0,1,610,1,normal,41.9014892578125,0.08504128456115723,303.61159467697144,0.09275579452514648,98.0126371383667,0.0019309212049526414,0.0019309219766835697,0.0019309212049526414,0.0019309219766835697,0.0019309219766835697
0,1,610,1,normal,0,1,610,1,normal,42.00442552566528,0.08711671829223633,303.287038564682,0.09245181083679199,99.0055284500122,0.0019294065122424753,0.0019294068461558859,0.0019294065122424753,0.0019294068461558859,0.0019294068461558859
0,1,610,1,normal,0,1,610,1,normal,42.02303695678711,0.08652925491333008,304.18767833709717,0.09414172172546387,98.53640270233154,0.0019289007467044835,,0.0019289007467044835,0.0019289016723632812,0.0019289016723632812
0,1,610,1,normal,0,1,610,1,normal,42.12895488739014,0.08708620071411133,305.2295169830322,0.0927584171295166,98.39668941497803,0.0019325181918905233,0.00193251938116355,0.0019325181918905233,0.00193251938116355,0.00193251938116355
0,1,610,1,normal,0,1,610,1,normal,41.97662568092346,0.08236026763916016,303.8402841091156,0.09182858467102051,98.2080090045929,0.0019347617206271716,0.0019347624700577532,0.0019347617206271716,0.001934762860907883,0.0019347624700577532
0,1,810,1,normal,0,1,610,1,normal,58.16355657577515,0.1521289348602295,411.75071692466736,0.13315320014953613,133.51883482933044,0.0016938631388960445,,0.0016938631388960445,0.0016938644395747655,0.0016938644395747655
0,1,810,1,normal,0,1,610,1,normal,57.94678092002869,0.12352371215820312,412.1435580253601,0.13555026054382324,133.48258543014526,0.0016972672830851108,0.0016960206166119643,0.0016972672830851108,0.0016972686203432755,0.0016972686203432755
0,1,810,1,normal,0,1,610,1,normal,58.16767859458923,0.12378168106079102,413.00489830970764,0.13512468338012695,133.44808673858643,0.0016964288555917143,,0.0016964288555917143,0.0016964302936070402,0.0016964302936070402
0,1,810,1,normal,0,1,610,1,normal,58.237284660339355,0.12319159507751465,413.4127354621887,0.6752636432647705,134.00907397270203,0.0016931461450170268,,0.0016931461450170268,0.001693147169032567,0.001693147169032567
0,1,810,1,normal,0,1,610,1,normal,58.11936354637146,0.12469339370727539,411.71768498420715,0.13509273529052734,133.28084635734558,0.00169205770049144,,0.00169205770049144,0.001692058670688683,0.001692058670688683
0,1,10,1,normal,0,1,810,1,normal,18.03797149658203,0.04820585250854492,137.67730236053467,0.044333696365356445,43.9798686504364,0.002714502060157658,0.002714503392940614,0.002714502060157658,0.0027145031021862495,0.002714503392940614
0,1,10,1,normal,0,1,810,1,normal,17.971724033355713,0.04588890075683594,136.88794112205505,0.04437899589538574,44.6942663192749,0.0027017307294206947,0.002701731135205525,0.0027017307294206947,0.00270173084445116,0.00270173084445116
0,1,10,1,normal,0,1,810,1,normal,18.056779861450195,0.04742145538330078,136.73369908332825,0.0444340705871582,44.025864601135254,0.0027113302469044006,0.0027113315535754693,0.0027113302469044006,0.0027113312628211043,0.0027113315535754693
